"id","city","date","player_of_match","venue","neutral_venue","team1","team2","toss_winner","toss_decision","winner","result","result_margin","eliminator","method","umpire1","umpire2"
1082635,"Delhi","2017-05-06","LMP Simmons","Feroz Shah Kotla",0,"Delhi Daredevils","Mumbai Indians","Delhi Daredevils","field","Mumbai Indians","runs",146,"N ","NA ","Nitin Menon","CK Nandan"
980987,"Bangalore","2016-05-14","AB de Villiers","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Gujarat Lions","Gujarat Lions","field","Royal Challengers Bangalore","runs",144,"N ","NA ","AY Dandekar","VK Sharma"
335982,"Bangalore","2008-04-18","BB McCullum","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore","field","Kolkata Knight Riders","runs",140,"N ","NA ","Asad Rauf","RE Koertzen"
829785,"Bangalore","2015-05-06","CH Gayle","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","field","Royal Challengers Bangalore","runs",138,"N ","NA ","RK Illingworth","VA Kulkarni"
598027,"Bangalore","2013-04-23","CH Gayle","M Chinnaswamy Stadium",0,"Royal Challengers Bangalore","Pune Warriors","Pune Warriors","field","Royal Challengers Bangalore","runs",130,"N ","NA ","Aleem Dar","C Shamshuddin"
1175366,"Hyderabad","2019-03-31","JM Bairstow","Rajiv Gandhi International Stadium, Uppal",0,"Sunrisers Hyderabad","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Sunrisers Hyderabad","runs",118,"N ","NA ","KN Ananthapadmanabhan","S Ravi"
501260,"Dharamsala","2011-05-17","AC Gilchrist","Himachal Pradesh Cricket Association Stadium",0,"Kings XI Punjab","Royal Challengers Bangalore","Kings XI Punjab","bat","Kings XI Punjab","runs",111,"N ","NA ","Asad Rauf","AM Saheba"
336038,"Mumbai","2008-05-30","SR Watson","Wankhede Stadium",0,"Delhi Daredevils","Rajasthan Royals","Delhi Daredevils","field","Rajasthan Royals","runs",105,"N ","NA ","BF Bowden","RE Koertzen"
1136601,"Kolkata","2018-05-09","Ishan Kishan","Eden Gardens",0,"Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","field","Mumbai Indians","runs",102,"N ","NA ","KN Ananthapadmanabhan","AK Chaudhary"
419114,"Delhi","2010-03-17","SR Tendulkar","Feroz Shah Kotla",0,"Delhi Daredevils","Mumbai Indians","Delhi Daredevils","field","Mumbai Indians","runs",98,"N ","NA ","BR Doctrove","SK Tarapore"
1216510,"Dubai","2020-09-24","KL Rahul","Dubai International Cricket Stadium",0,"Kings XI Punjab","Royal Challengers Bangalore","Royal Challengers Bangalore","field","Kings XI Punjab","runs",97,"N ","NA ","AK Chaudhary","PR Reiffel"
1082599,"Pune","2017-04-11","SV Samson","Maharashtra Cricket Association Stadium",0,"Rising Pune Supergiant","Delhi Daredevils","Rising Pune Supergiant","field","Delhi Daredevils","runs",97,"N ","NA ","AY Dandekar","S Ravi"
829753,"Chennai","2015-04-25","BB McCullum","MA Chidambaram Stadium, Chepauk",0,"Chennai Super Kings","Kings XI Punjab","Chennai Super Kings","bat","Chennai Super Kings","runs",97,"N ","NA ","JD Cloete","C Shamshuddin"
729293,"Abu Dhabi","2014-04-21","SK Raina","Sheikh Zayed Stadium",1,"Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","Chennai Super Kings","runs",93,"N ","NA ","RK Illingworth","C Shamshuddin"
392185,"Port Elizabeth","2009-04-20","M Muralitharan","St George's Park",1,"Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings","bat","Chennai Super Kings","runs",92,"N ","NA ","BG Jerling","SJA Taufel"
392197,"Port Elizabeth","2009-04-27","SR Tendulkar","St George's Park",1,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","bat","Mumbai Indians","runs",92,"N ","NA ","BG Jerling","RB Tiffin"
1216524,"Dubai","2020-10-27","WP Saha","Dubai International Cricket Stadium",0,"Sunrisers Hyderabad","Delhi Capitals","Delhi Capitals","field","Sunrisers Hyderabad","runs",88,"N ","NA ","AK Chaudhary","Nitin Menon"
598019,"Jaipur","2013-04-17","AM Rahane","Sawai Mansingh Stadium",0,"Rajasthan Royals","Mumbai Indians","Rajasthan Royals","bat","Rajasthan Royals","runs",87,"N ","NA ","Aleem Dar","C Shamshuddin"
548380,"Chennai","2012-05-25","M Vijay","MA Chidambaram Stadium, Chepauk",0,"Delhi Daredevils","Chennai Super Kings","Delhi Daredevils","field","Chennai Super Kings","runs",86,"N ","NA ","BR Doctrove","SJA Taufel"
598020,"Delhi","2013-04-18","MEK Hussey","Feroz Shah Kotla",0,"Delhi Daredevils","Chennai Super Kings","Chennai Super Kings","bat","Chennai Super Kings","runs",86,"N ","NA ","M Erasmus","VA Kulkarni"
