"team1_corr","team2_corr"
"Chennai Super Kings","Chennai Super Kings"
"Sunrisers Hyderabad","Sunrisers Hyderabad"
"Pune Warriors","Pune Warriors"
"Kochi Tuskers Kerala","Kochi Tuskers Kerala"
"Gujarat Lions","Gujarat Lions"
"Royal Challengers Bangalore","Royal Challengers Bangalore"
"Delhi Capitals","Delhi Capitals"
"Mumbai Indians","Mumbai Indians"
"Kolkata Knight Riders","Kolkata Knight Riders"
"Rajasthan Royals","Rajasthan Royals"
"Deccan Chargers","Deccan Chargers"
"Delhi Daredevils","Delhi Daredevils"
"Kings XI Punjab","Kings XI Punjab"
"Rising Pune Supergiant","Rising Pune Supergiant"
